Farm ID;Nivel riesgo deforestación desde oficina;Fase resultado
2131_A;Riesgo no despreciable desde oficina;Fase 3
2310_B;Riesgo despreciable desde oficina;Fase 2
2351_A;Riesgo despreciable desde oficina;Fase 2
2354_A;Riesgo despreciable desde oficina;Fase 2
2439_b;Riesgo despreciable desde oficina;Fase 2
2500_B;Riesgo despreciable desde oficina;Fase 2
2556_B;Riesgo despreciable desde oficina;Fase 2
2573_C;Riesgo despreciable desde oficina;Fase 2
2621_A;Riesgo despreciable desde oficina;Fase 2
2656_B;Riesgo despreciable desde oficina;Fase 2
2656_C;Riesgo despreciable desde oficina;Fase 2
2662_C;Riesgo despreciable desde oficina;Fase 2
2692_A;Riesgo despreciable desde oficina;Fase 2
2724_A;Riesgo despreciable desde oficina;Fase 2
2820_B;Riesgo despreciable desde oficina;Fase 2
2820_C;Riesgo despreciable desde oficina;Fase 2
2829_B;Riesgo despreciable desde oficina;Fase 2
2839_A;Riesgo despreciable desde oficina;Fase 2
2850_A;Riesgo despreciable desde oficina;Fase 2
2890_C;Riesgo despreciable desde oficina;Fase 2
2903_C;Riesgo despreciable desde oficina;Fase 2
2919_A;Riesgo despreciable desde oficina;Fase 2
2956_B;Riesgo despreciable desde oficina;Fase 2
2961_A;Riesgo despreciable desde oficina;Fase 2
2993_C;Riesgo no despreciable desde oficina;Fase 3
3102_A;Riesgo no despreciable desde oficina;Fase 3
3112_C;Riesgo despreciable desde oficina;Fase 2
3178_A;Riesgo despreciable desde oficina;Fase 2
3179_A;Riesgo despreciable desde oficina;Fase 2
3181_B;Riesgo despreciable desde oficina;Fase 2
3185_A;Riesgo despreciable desde oficina;Fase 2
3380_A;Riesgo despreciable desde oficina;Fase 2
3452_C;Riesgo despreciable desde oficina;Fase 2
3577_A;Riesgo despreciable desde oficina;Fase 2
3714_B;Riesgo despreciable desde oficina;Fase 2
3825_A;Riesgo despreciable desde oficina;Fase 2
4097_A;Riesgo despreciable desde oficina;Fase 2
4097_B;Riesgo despreciable desde oficina;Fase 2
4662_B;Riesgo despreciable desde oficina;Fase 2
4702_B;Riesgo no despreciable desde oficina;Fase 3
4759_A;Riesgo despreciable desde oficina;Fase 2
5049_C;Riesgo despreciable desde oficina;Fase 2
5559_A;Riesgo despreciable desde oficina;Fase 2
5559_B;Riesgo despreciable desde oficina;Fase 2
5700_A;Riesgo despreciable desde oficina;Fase 2
5707_C;Riesgo despreciable desde oficina;Fase 2
5970_A;Riesgo despreciable desde oficina;Fase 2
6599_A;Riesgo despreciable desde oficina;Fase 2
7223_A;Riesgo despreciable desde oficina;Fase 2
7421_A;Riesgo despreciable desde oficina;Fase 2
7447_A;Riesgo despreciable desde oficina;Fase 2
7463_B;Riesgo despreciable desde oficina;Fase 2
7531_A;Riesgo despreciable desde oficina;Fase 2
7750_A;Riesgo despreciable desde oficina;Fase 2
7750_B;Riesgo despreciable desde oficina;Fase 2
7762_B;Riesgo despreciable desde oficina;Fase 2
7762_D;Riesgo despreciable desde oficina;Fase 2
7905_B;Riesgo despreciable desde oficina;Fase 2
7905_C;Riesgo despreciable desde oficina;Fase 2
7906_B;Riesgo despreciable desde oficina;Fase 2
7977_A;Riesgo despreciable desde oficina;Fase 2
7977_B;Riesgo despreciable desde oficina;Fase 2
7977_C;Riesgo despreciable desde oficina;Fase 2
7977_E;Riesgo despreciable desde oficina;Fase 2
8011_A;Riesgo despreciable desde oficina;Fase 2
8011_C;Riesgo despreciable desde oficina;Fase 2
8016_D;Riesgo despreciable desde oficina;Fase 2
8019_A;Riesgo despreciable desde oficina;Fase 2
8020_E;Riesgo despreciable desde oficina;Fase 2
8020_G;Riesgo despreciable desde oficina;Fase 2
8047_B;Riesgo despreciable desde oficina;Fase 2
8068_A;Riesgo despreciable desde oficina;Fase 2
8068_D;Riesgo despreciable desde oficina;Fase 2
8068_F;Riesgo despreciable desde oficina;Fase 2
8068_K;Riesgo despreciable desde oficina;Fase 2
8085_A;Riesgo despreciable desde oficina;Fase 2
8106_A;Riesgo despreciable desde oficina;Fase 2
8106_B;Riesgo despreciable desde oficina;Fase 2
8121_E;Riesgo despreciable desde oficina;Fase 2
8121_F;Riesgo despreciable desde oficina;Fase 2
8132_D;Riesgo despreciable desde oficina;Fase 2
8135_A;Riesgo despreciable desde oficina;Fase 2
8141_A;Riesgo despreciable desde oficina;Fase 2
8145_A;Riesgo despreciable desde oficina;Fase 2
8146_D;Riesgo despreciable desde oficina;Fase 2
8146_G;Riesgo despreciable desde oficina;Fase 2
8146_H;Riesgo despreciable desde oficina;Fase 2
8151_I;Riesgo despreciable desde oficina;Fase 2
8151_L;Riesgo despreciable desde oficina;Fase 2
8153_C;Riesgo despreciable desde oficina;Fase 2
8153_E;Riesgo despreciable desde oficina;Fase 2
8162_A;Riesgo despreciable desde oficina;Fase 2
8165_B;Riesgo despreciable desde oficina;Fase 2
8167_B;Riesgo despreciable desde oficina;Fase 2
8168_A;Riesgo despreciable desde oficina;Fase 2
8170_D;Riesgo despreciable desde oficina;Fase 2
8170_F;Riesgo despreciable desde oficina;Fase 2
8175_C;Riesgo despreciable desde oficina;Fase 2
8179_B;Riesgo despreciable desde oficina;Fase 2
8511_A;Riesgo despreciable desde oficina;Fase 2
8511_C;Riesgo despreciable desde oficina;Fase 2
8518_A;Riesgo despreciable desde oficina;Fase 2
8519_A;Riesgo despreciable desde oficina;Fase 2
8519_A;Riesgo despreciable desde oficina;Fase 2
9135_D;Riesgo despreciable desde oficina;Fase 2
9177_C;Riesgo despreciable desde oficina;Fase 2
9269_A;Riesgo despreciable desde oficina;Fase 2
9281_A;Riesgo despreciable desde oficina;Fase 2
9292_A;Riesgo despreciable desde oficina;Fase 2
9292_B;Riesgo despreciable desde oficina;Fase 2
9299_B;Riesgo despreciable desde oficina;Fase 2
9304_A;Riesgo no despreciable desde oficina;Fase 3
9304_B;Riesgo no despreciable desde oficina;Fase 3
9306_D;Riesgo despreciable desde oficina;Fase 2
9309_A;Riesgo despreciable desde oficina;Fase 2
9360_A;Riesgo despreciable desde oficina;Fase 2
9362_A;Riesgo despreciable desde oficina;Fase 2
9371_C;Riesgo no despreciable desde oficina;Fase 3
9426_A;Riesgo despreciable desde oficina;Fase 2
9451_A;Riesgo despreciable desde oficina;Fase 2
9480_A;Riesgo despreciable desde oficina;Fase 2
9480_B;Riesgo despreciable desde oficina;Fase 2
9521_A;Riesgo no despreciable desde oficina;Fase 3
9557_B;Riesgo despreciable desde oficina;Fase 2
9560_A;Riesgo no despreciable desde oficina;Fase 3
9565;Riesgo no despreciable desde oficina;Fase 3
9570_A;Riesgo no despreciable desde oficina;Fase 3
9570_B;Riesgo no despreciable desde oficina;Fase 3
9571_B;Riesgo no despreciable desde oficina;Fase 3
9571_D;Riesgo no despreciable desde oficina;Fase 3
9584_D;Riesgo no despreciable desde oficina;Fase 3
9675_B;Riesgo despreciable desde oficina;Fase 2
9677_C;Riesgo despreciable desde oficina;Fase 2
9755_B;Riesgo despreciable desde oficina;Fase 2
9766_A;Riesgo despreciable desde oficina;Fase 2
9767_A;Riesgo despreciable desde oficina;Fase 2
9767_G;Riesgo despreciable desde oficina;Fase 2
9769_A;Riesgo despreciable desde oficina;Fase 2
9769_B;Riesgo despreciable desde oficina;Fase 2
9769_F;Riesgo despreciable desde oficina;Fase 2
9769_H;Riesgo despreciable desde oficina;Fase 2
9769_O;Riesgo despreciable desde oficina;Fase 2
9824_C;Riesgo despreciable desde oficina;Fase 2
9849_A;Riesgo despreciable desde oficina;Fase 2
9918_C;Riesgo despreciable desde oficina;Fase 2
9923_A;Riesgo despreciable desde oficina;Fase 2
9923_B;Riesgo despreciable desde oficina;Fase 2
9929_B;Riesgo no despreciable desde oficina;Fase 3
