Num_int;farm_id;Tecnico;map_date;Region;Nom_pol;area_pol;latitud;longitud
12000;12000_B;;XXXX;XXXX;XXXXX;6,0179560;XXXX;XXXX
12000;12000_A;;XXXX;XXXX;XXXXX;12,3196810;XXXX;XXXX
11984;11984;;XXXX;XXXX;XXXXX;5,4195140;XXXX;XXXX
11929;11929;;XXXX;XXXX;XXXXX;7,4717280;XXXX;XXXX
11910;11910_D;;XXXX;XXXX;XXXXX;0,5569020;XXXX;XXXX
11910;11910_C;;XXXX;XXXX;XXXXX;0,4964040;XXXX;XXXX
11910;11910_B;;XXXX;XXXX;XXXXX;1,0788430;XXXX;XXXX
11910;11910_A;;XXXX;XXXX;XXXXX;2,8281790;XXXX;XXXX
11829;11829;;XXXX;XXXX;XXXXX;25,2428880;XXXX;XXXX
11764;11764;;XXXX;XXXX;XXXXX;16,0661900;XXXX;XXXX
11711;11711_B;;XXXX;XXXX;XXXXX;7,0191640;XXXX;XXXX
11708;11708;;XXXX;XXXX;XXXXX;4,5880300;XXXX;XXXX
11703;11703_C;;XXXX;XXXX;XXXXX;3,7681490;XXXX;XXXX
11703;11703_B;;XXXX;XXXX;XXXXX;2,4381340;XXXX;XXXX
11703;11703_A;;XXXX;XXXX;XXXXX;22,8513900;XXXX;XXXX
11672;11672;;XXXX;XXXX;XXXXX;4,7011820;XXXX;XXXX
11668;11668_B;;XXXX;XXXX;XXXXX;1,2369240;XXXX;XXXX
11668;11668_A;;XXXX;XXXX;XXXXX;2,2712500;XXXX;XXXX
11600;11600;;XXXX;XXXX;XXXXX;4,9733450;XXXX;XXXX
11569;11569;;XXXX;XXXX;XXXXX;3,2333130;XXXX;XXXX
11551;11551;;XXXX;XXXX;XXXXX;1,2145060;XXXX;XXXX
13252;13252;;XXXX;XXXX;XXXXX;3,3711360;XXXX;XXXX
11469;11469;;XXXX;XXXX;XXXXX;7,1011730;XXXX;XXXX
11460;11460_A;;XXXX;XXXX;XXXXX;2,9900230;XXXX;XXXX
11460;11460_B;;XXXX;XXXX;XXXXX;3,0433150;XXXX;XXXX
11450;11450_A;;XXXX;XXXX;XXXXX;3,4429660;XXXX;XXXX
11450;11450_B;;XXXX;XXXX;XXXXX;2,0093490;XXXX;XXXX
11440;11440_C;;XXXX;XXXX;XXXXX;1,6866170;XXXX;XXXX
11440;11440_D;;XXXX;XXXX;XXXXX;0,3440570;XXXX;XXXX
11437;11437;;XXXX;XXXX;XXXXX;22,2446510;XXXX;XXXX
11367;11367_D;;XXXX;XXXX;XXXXX;5,8882770;XXXX;XXXX
11367;11367_C;;XXXX;XXXX;XXXXX;3,6324920;XXXX;XXXX
11367;11367_B;;XXXX;XXXX;XXXXX;2,4227910;XXXX;XXXX
11367;11367_A;;XXXX;XXXX;XXXXX;7,8801170;XXXX;XXXX
11363;11363_A;;XXXX;XXXX;XXXXX;5,2442530;XXXX;XXXX
11363;11363_B;;XXXX;XXXX;XXXXX;5,5656710;XXXX;XXXX
11260;11260;;XXXX;XXXX;XXXXX;8,9760430;XXXX;XXXX
11346;11346;;XXXX;XXXX;XXXXX;21,3955720;XXXX;XXXX
11243;11243;;XXXX;XXXX;XXXXX;16,1042540;XXXX;XXXX
11214;11214_C;;XXXX;XXXX;XXXXX;2,2149040;XXXX;XXXX
11214;11214_B;;XXXX;XXXX;XXXXX;1,4720620;XXXX;XXXX
11214;11214_A;;XXXX;XXXX;XXXXX;12,7893570;XXXX;XXXX
9176;9176_C;;XXXX;XXXX;XXXXX;0,5337220;XXXX;XXXX
11140;11140;;XXXX;XXXX;XXXXX;22,2846640;XXXX;XXXX
10961;10961;;XXXX;XXXX;XXXXX;20,4366360;XXXX;XXXX
10934;10934;;XXXX;XXXX;XXXXX;3,9771310;XXXX;XXXX
10928;10928_B;;XXXX;XXXX;XXXXX;5,7046050;XXXX;XXXX
10916;10916;;XXXX;XXXX;XXXXX;5,1941960;XXXX;XXXX
10914;10914_B;;XXXX;XXXX;XXXXX;1,2394700;XXXX;XXXX
11918;11918;;XXXX;XXXX;XXXXX;10,6763380;XXXX;XXXX
10840;10840;;XXXX;XXXX;XXXXX;6,9397320;XXXX;XXXX
10823;10823_B;;XXXX;XXXX;XXXXX;2,3137260;XXXX;XXXX
10823;10823_C;;XXXX;XXXX;XXXXX;1,1965950;XXXX;XXXX
10823;10823_D;;XXXX;XXXX;XXXXX;4,5173830;XXXX;XXXX
10816;10816;;XXXX;XXXX;XXXXX;14,9419800;XXXX;XXXX
9154;9154;;XXXX;XXXX;XXXXX;3,5742640;XXXX;XXXX
10801;10801_A;;XXXX;XXXX;XXXXX;2,3636820;XXXX;XXXX
10801;10801_B;;XXXX;XXXX;XXXXX;4,2949790;XXXX;XXXX
10785;10785_C;;XXXX;XXXX;XXXXX;4,4299560;XXXX;XXXX
10772;10772_K;;XXXX;XXXX;XXXXX;2,4191760;XXXX;XXXX
10772;10772_J;;XXXX;XXXX;XXXXX;14,5374600;XXXX;XXXX
10772;10772_I;;XXXX;XXXX;XXXXX;11,7493670;XXXX;XXXX
10772;10772_H;;XXXX;XXXX;XXXXX;26,6046900;XXXX;XXXX
10772;10772_G;;XXXX;XXXX;XXXXX;7,9473140;XXXX;XXXX
10772;10772_F;;XXXX;XXXX;XXXXX;4,9698400;XXXX;XXXX
10772;10772_E;;XXXX;XXXX;XXXXX;11,9497000;XXXX;XXXX
10772;10772_D;;XXXX;XXXX;XXXXX;2,0179560;XXXX;XXXX
10772;10772_C;;XXXX;XXXX;XXXXX;4,9655510;XXXX;XXXX
10772;10772_B;;XXXX;XXXX;XXXXX;6,0975920;XXXX;XXXX
10772;10772_A;;XXXX;XXXX;XXXXX;7,5259280;XXXX;XXXX
10765;10765_E;;XXXX;XXXX;XXXXX;0,4301620;XXXX;XXXX
10765;10765_D;;XXXX;XXXX;XXXXX;0,8410780;XXXX;XXXX
10757;10757;;XXXX;XXXX;XXXXX;5,9422280;XXXX;XXXX
10682;10682_A;;XXXX;XXXX;XXXXX;1,7739880;XXXX;XXXX
10673;10673_B;;XXXX;XXXX;XXXXX;7,0261260;XXXX;XXXX
10673;10673_A;;XXXX;XXXX;XXXXX;8,9730080;XXXX;XXXX
10673;10673_C;;XXXX;XXXX;XXXXX;3,9819250;XXXX;XXXX
10668;10668;;XXXX;XXXX;XXXXX;4,5290490;XXXX;XXXX
10654;10654_B;;XXXX;XXXX;XXXXX;1,0189800;XXXX;XXXX
10654;10654_A;;XXXX;XXXX;XXXXX;2,9888510;XXXX;XXXX
10650;10650_A;;XXXX;XXXX;XXXXX;5,0223850;XXXX;XXXX
10650;10650_B;;XXXX;XXXX;XXXXX;4,0731860;XXXX;XXXX
10647;10647_C;;XXXX;XXXX;XXXXX;3,6591000;XXXX;XXXX
10647;10647_B;;XXXX;XXXX;XXXXX;4,1013300;XXXX;XXXX
10647;10647_A;;XXXX;XXXX;XXXXX;8,8736460;XXXX;XXXX
10645;10645;;XXXX;XXXX;XXXXX;5,5299260;XXXX;XXXX
10625;10625;;XXXX;XXXX;XXXXX;7,3090320;XXXX;XXXX
10624;10624;;XXXX;XXXX;XXXXX;14,1147440;XXXX;XXXX
10621;10621_C;;XXXX;XXXX;XXXXX;5,4664850;XXXX;XXXX
10612;10612;;XXXX;XXXX;XXXXX;8,4224790;XXXX;XXXX
10493;10493;;XXXX;XXXX;XXXXX;10,9930790;XXXX;XXXX
10472;10472_B;;XXXX;XXXX;XXXXX;3,3464940;XXXX;XXXX
10472;10472_C;;XXXX;XXXX;XXXXX;9,6422900;XXXX;XXXX
10452;10452;;XXXX;XXXX;XXXXX;3,1909120;XXXX;XXXX
10425;10425_A;;XXXX;XXXX;XXXXX;0,2412320;XXXX;XXXX
10425;10425_B;;XXXX;XXXX;XXXXX;4,1589010;XXXX;XXXX
10420;10420_A;;XXXX;XXXX;XXXXX;0,8833910;XXXX;XXXX
10420;10420_B;;XXXX;XXXX;XXXXX;3,6056510;XXXX;XXXX
10378;10378;;XXXX;XXXX;XXXXX;3,9856270;XXXX;XXXX
10682;10682_B;;XXXX;XXXX;XXXXX;0,0902910;XXXX;XXXX
10682;10682_C;;XXXX;XXXX;XXXXX;2,2149860;XXXX;XXXX
10196;10196_C;;XXXX;XXXX;XXXXX;5,7122470;XXXX;XXXX
10196;10196_A;;XXXX;XXXX;XXXXX;3,6053620;XXXX;XXXX
10196;10196_B;;XXXX;XXXX;XXXXX;10,5153300;XXXX;XXXX
10183;10183;;XXXX;XXXX;XXXXX;6,9135650;XXXX;XXXX
10128;10128_B;;XXXX;XXXX;XXXXX;2,4429250;XXXX;XXXX
10128;10128_A;;XXXX;XXXX;XXXXX;3,2616250;XXXX;XXXX
10127;10127;;XXXX;XXXX;XXXXX;4,3384300;XXXX;XXXX
10094;10094;;XXXX;XXXX;XXXXX;6,1830810;XXXX;XXXX
10089;10089;;XXXX;XXXX;XXXXX;5,1015190;XXXX;XXXX
10084;10084;;XXXX;XXXX;XXXXX;37,2361000;XXXX;XXXX
10069;10069;;XXXX;XXXX;XXXXX;13,8031540;XXXX;XXXX
10066;10066_A;;XXXX;XXXX;XXXXX;0,7850100;XXXX;XXXX
10066;10066_B;;XXXX;XXXX;XXXXX;2,5639190;XXXX;XXXX
10066;10066_C;;XXXX;XXXX;XXXXX;0,5001090;XXXX;XXXX
10066;10066_D;;XXXX;XXXX;XXXXX;0,4010690;XXXX;XXXX
10066;10066_E;;XXXX;XXXX;XXXXX;0,1385960;XXXX;XXXX
10017;10017_D;;XXXX;XXXX;XXXXX;6,4716400;XXXX;XXXX
10017;10017_C;;XXXX;XXXX;XXXXX;3,6862330;XXXX;XXXX
10017;10017_A;;XXXX;XXXX;XXXXX;7,7618070;XXXX;XXXX
10015;10015;;XXXX;XXXX;XXXXX;6,9531700;XXXX;XXXX
9953;9953_A;;XXXX;XXXX;XXXXX;4,5792230;XXXX;XXXX
9953;9953_B;;XXXX;XXXX;XXXXX;1,5784470;XXXX;XXXX
9952;9952_A;;XXXX;XXXX;XXXXX;29,6313210;XXXX;XXXX
9916;9916;;XXXX;XXXX;XXXXX;7,1604710;XXXX;XXXX
9891;9891;;XXXX;XXXX;XXXXX;17,8901500;XXXX;XXXX
9882;9882;;XXXX;XXXX;XXXXX;6,5839650;XXXX;XXXX
9864;9864;;XXXX;XXXX;XXXXX;6,4897540;XXXX;XXXX
9863;9863;;XXXX;XXXX;XXXXX;8,9564780;XXXX;XXXX
9843;9843_B;;XXXX;XXXX;XXXXX;11,7086250;XXXX;XXXX
9842;9842_C;;XXXX;XXXX;XXXXX;7,8150680;XXXX;XXXX
9842;9842_A;;XXXX;XXXX;XXXXX;4,7393320;XXXX;XXXX
9804;9804;;XXXX;XXXX;XXXXX;4,6750920;XXXX;XXXX
9726;9726;;XXXX;XXXX;XXXXX;3,7537240;XXXX;XXXX
9680;9680;;XXXX;XXXX;XXXXX;4,5731650;XXXX;XXXX
9614;9614_A;;XXXX;XXXX;XXXXX;2,9118700;XXXX;XXXX
9614;9614_B;;XXXX;XXXX;XXXXX;0,4354890;XXXX;XXXX
9613;9613;;XXXX;XXXX;XXXXX;4,0734340;XXXX;XXXX
9571;9571_A;;XXXX;XXXX;XXXXX;0,4963420;XXXX;XXXX
9571;9571_B;;XXXX;XXXX;XXXXX;2,1829450;XXXX;XXXX
9571;9571_C;;XXXX;XXXX;XXXXX;0,8170510;XXXX;XXXX
9571;9571_D;;XXXX;XXXX;XXXXX;2,0070870;XXXX;XXXX
9557;9557_A;;XXXX;XXXX;XXXXX;2,4997380;XXXX;XXXX
9557;9557_B;;XXXX;XXXX;XXXXX;8,6539220;XXXX;XXXX
9484;9484_A;;XXXX;XXXX;XXXXX;3,5406450;XXXX;XXXX
9484;9484_B;;XXXX;XXXX;XXXXX;0,3030550;XXXX;XXXX
9484;9484_C;;XXXX;XXXX;XXXXX;0,2434950;XXXX;XXXX
9462;9462_A;;XXXX;XXXX;XXXXX;3,4864630;XXXX;XXXX
9462;9462_B;;XXXX;XXXX;XXXXX;0,9602930;XXXX;XXXX
9459;9459_A;;XXXX;XXXX;XXXXX;0,5720430;XXXX;XXXX
9459;9459_B;;XXXX;XXXX;XXXXX;0,1394880;XXXX;XXXX
9459;9459_C;;XXXX;XXXX;XXXXX;1,5575190;XXXX;XXXX
9459;9459_D;;XXXX;XXXX;XXXXX;2,0937950;XXXX;XXXX
9451;9451_A;;XXXX;XXXX;XXXXX;4,3396540;XXXX;XXXX
9451;9451_B;;XXXX;XXXX;XXXXX;2,9032170;XXXX;XXXX
9451;9451_C;;XXXX;XXXX;XXXXX;0,4105240;XXXX;XXXX
9449;9449;;XXXX;XXXX;XXXXX;4,1826900;XXXX;XXXX
9445;9445_A;;XXXX;XXXX;XXXXX;0,1094400;XXXX;XXXX
